value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[7.780169700103379e-20, 0.999876298075834, 9.35646541287331e-14, 5.748811037326432e-19, 7.780169700103379e-20, 2.3192359008063216e-16, 1.713696417771187e-15, 7.780169700103379e-20, 7.780169700103379e-20, 2.1148693918118673e-19, 2.862164481493019e-20, 7.780169700103379e-20, 3.8735184077263035e-21, 7.581622450596869e-10, 8.531992071333762e-17, 1.1546795635464884e-17, 7.780169700103379e-20, 1.713696417771187e-15, 7.581622450596869e-10, 5.1084570239198186e-12, 2.3192359008063216e-16, 4.247828725695671e-18, 2.1148693918118673e-19, 7.780169700103379e-20, 1.1546795635464884e-17, 5.748811037326432e-19, 1.0529314699924028e-20, 7.780169700103379e-20, 1.1546795635464884e-17, 1.424987787201648e-21, 1.0529314699924028e-20, 5.748811037326432e-19, 2.1148693918118673e-19, 2.1148693918118673e-19, 2.1148693918118673e-19, 1.424987787201648e-21, 1.0529314699924028e-20, 7.780169700103379e-20, 5.748811037326432e-19, 1.5626888578009233e-18, 1.0529314699924028e-20, 5.748811037326432e-19, 1.424987787201648e-21, 8.531992071333762e-17, 1.424987787201648e-21, 1.1546795635464884e-17, 1.1546795635464884e-17, 4.658309831922778e-15, 7.780169700103379e-20, 7.780169700103379e-20, 7.780169700103379e-20, 2.3192359008063216e-16, 1.1546795635464884e-17, 3.8735184077263035e-21, 3.0586447979617286e-07, 2.862164481493019e-20, 1.5626888578009233e-18, 7.780169700103379e-20, 1.424987787201648e-21, 3.8735184077263035e-21, 1.5626888578009233e-18, 5.748811037326432e-19, 5.748811037326432e-19, 2.1148693918118673e-19, 1.0529314699924028e-20, 1.424987787201648e-21, 5.748811037326432e-19, 1.424987787201648e-21, 7.780169700103379e-20, 2.1148693918118673e-19, 1.5626888578009233e-18, 2.862164481493019e-20, 6.304336805071668e-16, 1.5626888578009233e-18, 9.35646541287331e-14, 5.748811037326432e-19, 5.748811037326432e-19, 8.531992071333762e-17, 0.0001233945380564531, 5.748811037326432e-19, 2.1148693918118673e-19]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 1.2949981727861875e-100, 4.296027065745506e-61, 1.522997951276035e-08, 6.3758694841746305e-59, 0.9999999847700205, 1.752589445049146e-101, 6.714184185954704e-79, 2.6010733614957537e-99, 4.834541564423365e-68, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103, 8.725629052145857e-103]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.05179219979029e-146, 4.2432325816646644e-144, 2.8590676240049104e-146, 3.7705833684892155e-137, 0.8807970779778823, 0.11920292202211755, 9.346341731944612e-140, 7.380148100332695e-126, 2.8590676240049104e-146, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148, 1.92642461173463e-148]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.554098548377289e-208, 9.156220696363793e-199, 1.0, 2.303191161910391e-168, 6.169412976402867e-201, 3.790618342239785e-206, 3.790618342239785e-206, 5.130044069889206e-207, 2.2444145171954394e-158, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211, 2.329036404514219e-211]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 5.130044069889206e-207, 5.342304482466365e-184, 3.50775547440964e-176, 1.8872377456157127e-207, 1.0, 4.050834656260586e-193, 1.1299674023126563e-202, 1.239159721319329e-199, 4.328914158808713e-180, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211, 6.3309773362105915e-211]"
"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1. -1. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1. -1.  0. -1.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
