value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[1.322891776302876e-11, 4.866646873965988e-12, 1.0719503090481485e-07, 1.4507269869060569e-08, 6.005919372751939e-16, 4.866646873965988e-12, 6.586290331007626e-13, 3.595992676542016e-11, 8.913574674254806e-14, 4.437807517091847e-15, 1.790339332373354e-12, 2.657099161831274e-10, 4.866646873965988e-12, 4.437807517091847e-15, 1.5909153176681903e-05, 6.586290331007626e-13, 2.422960806363959e-13, 1.2063211531909719e-14, 6.005919372751939e-16, 7.920700968822817e-07, 2.422960806363959e-13, 3.27912087000478e-14, 8.913574674254806e-14, 4.866646873965988e-12, 4.437807517091847e-15, 6.005919372751939e-16, 1.6325781494141745e-15, 1.322891776302876e-11, 4.866646873965988e-12, 4.437807517091847e-15, 3.27912087000478e-14, 6.005919372751939e-16, 4.866646873965988e-12, 3.595992676542016e-11, 6.005919372751939e-16, 6.005919372751939e-16, 1.4507269869060569e-08, 1.2063211531909719e-14, 2.422960806363959e-13, 3.595992676542016e-11, 3.9434848065618775e-08, 6.005919372751939e-16, 1.322891776302876e-11, 1.2063211531909719e-14, 4.866646873965988e-12, 2.422960806363959e-13, 1.2063211531909719e-14, 3.27912087000478e-14, 8.913574674254806e-14, 4.437807517091847e-15, 5.852650380148614e-06, 9.774921547915968e-11, 6.586290331007626e-13, 1.963345476719289e-09, 7.222744368019711e-10, 1.322891776302876e-11, 0.0474245172291002, 2.422960806363959e-13, 6.586290331007626e-13, 8.913574674254806e-14, 3.27912087000478e-14, 8.913574674254806e-14, 0.9525468918694417, 9.774921547915968e-11, 6.005919372751939e-16, 4.437807517091847e-15, 6.005919372751939e-16, 4.866646873965988e-12, 2.422960806363959e-13, 3.27912087000478e-14, 2.422960806363959e-13, 4.866646873965988e-12, 8.913574674254806e-14, 6.005919372751939e-16, 1.6325781494141745e-15, 5.336926332353306e-09, 1.790339332373354e-12, 6.005919372751939e-16, 5.852650380148614e-06, 3.595992676542016e-11, 6.005919372751939e-16]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]","[3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 5.20597071316492e-174, 3.4182387635625514e-166, 2.1002384837706373e-171, 2.7390908706001e-119, 4.23337158863185e-94, 8.472966775545996e-169, 1.0, 5.709040105864101e-171, 1.0456471698030763e-172, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176, 3.50775547440964e-176]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]","[4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 1.1011310236205293e-192, 8.922557099654142e-189, 3.282425319641051e-189, 6.765582837962194e-198, 4.999127113166508e-197, 2.0239296102932935e-118, 4.999127113166508e-197, 1.0, 2.1002384837706373e-171, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200, 4.55861385801115e-200]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  1.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]]","[6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 6.079434979197592e-234, 1.4521889196783625e-183, 4.2657789743798256e-213, 1.4684846469095084e-226, 6.079434979197592e-234, 4.377491037053051e-223, 1.987377856181155e-227, 1.9366606581912876e-217, 3.319259031109752e-232, 1.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0. -1. -1.  0.  0.  0.  0.  1.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  1.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0. -1. -1.  0.  0.  0.  0.  1.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0. -1. -1.  0.  0.  0.  0.  1.]]","[8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 6.841502775783763e-241, 1.0850715436432725e-225, 6.079434979197592e-234, 1.8122540257939923e-230, 1.0, 2.3900291240976666e-221, 2.9495302596635135e-225, 1.8597132674765122e-240, 5.543727118291579e-237, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245, 8.443085172179486e-245]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0. -1. -1.  0.  0.  0.  0.  1.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0. -1.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. -1.]
 [ 0.  0. -1. -1.  0.  0.  0.  0.  1.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
