value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[3.2213402859925138e-27, 3.8739976286871845e-21, 2.380266408694399e-26, 1.1850648642339803e-27, 2.9374821117108007e-30, 2.9374821117108007e-30, 2.380266408694399e-26, 4.359610000063078e-28, 2.380266408694399e-26, 5.900090541597056e-29, 6.470234925645455e-26, 8.756510762696514e-27, 2.9374821117108007e-30, 1.1850648642339803e-27, 4.780892883885466e-25, 2.380266408694399e-26, 1.0530617357553804e-20, 1.7587922024243105e-25, 5.900090541597056e-29, 2.380266408694399e-26, 3.2213402859925138e-27, 2.9374821117108007e-30, 2.170522011303638e-29, 5.900090541597056e-29, 5.900090541597056e-29, 5.900090541597056e-29, 7.984904245686974e-30, 1.1850648642339803e-27, 2.170522011303638e-29, 1.2995814250075022e-24, 5.900090541597056e-29, 8.756510762696514e-27, 2.170522011303638e-29, 5.900090541597056e-29, 2.9374821117108007e-30, 7.984904245686974e-30, 6.305116760146985e-16, 5.900090541597056e-29, 1.4251640827409342e-21, 2.380266408694399e-26, 0.9999999999999993, 1.6038108905486368e-28, 6.470234925645455e-26, 8.53304762574406e-17, 5.900090541597056e-29, 1.0530617357553804e-20, 2.170522011303638e-29, 1.2995814250075022e-24, 2.9374821117108007e-30, 1.6038108905486368e-28, 6.470234925645455e-26, 1.1850648642339803e-27, 1.6038108905486368e-28, 5.900090541597056e-29, 1.1850648642339803e-27, 2.9374821117108007e-30, 7.984904245686974e-30, 4.359610000063078e-28, 7.984904245686974e-30, 5.900090541597056e-29, 2.380266408694399e-26, 2.380266408694399e-26, 5.900090541597056e-29, 1.5628821893349878e-18, 5.900090541597056e-29, 2.170522011303638e-29, 7.984904245686974e-30, 2.380266408694399e-26, 2.170522011303638e-29, 5.900090541597056e-29, 1.6038108905486368e-28, 1.2995814250075022e-24, 1.1850648642339803e-27, 3.532628572200805e-24, 2.170522011303638e-29, 4.359610000063078e-28, 1.2995814250075022e-24, 2.380266408694399e-26, 1.2995814250075022e-24, 4.780892883885466e-25, 2.170522011303638e-29]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 8.074506789659917e-73, 4.90609473064006e-35, 3.860335205157e-97, 1.8795288165355504e-12, 2.0014701280376808e-75, 1.4411565509613804e-64, 5.091070808940541e-88, 2.3113425714173748e-92, 0.9999999999981204, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98, 1.9219477278202367e-98]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]","[2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.8606431824312413e-70, 6.300985920896878e-66, 0.8781744445597949, 0.11884798718565487, 0.0008007914386049313, 2.318003179408669e-66, 3.1835061131198795e-34, 6.300985920896878e-66, 0.0021767768159453617, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73, 2.608568927945527e-73]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]","[4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 1.0, 1.1466913584229263e-169, 4.00588267344223e-150, 1.818667920110323e-154, 1.2574997661299533e-166, 2.7698275585638865e-162, 1.0456471698030763e-172, 2.3113425714217192e-92, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177, 4.747230806540073e-177]"
"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]","[2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 5.3234637826457406e-260, 8.66419237571129e-255, 1.4101388229230154e-249, 1.0, 2.3551716693169407e-254, 2.906512743009017e-258, 2.582759346364262e-251, 9.642065659472201e-219, 1.586902188160519e-256, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261, 2.6503965530043108e-261]"
"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.  0.  1.]
 [ 0.  0.  0. -1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
