value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[5.846884800510728e-06, 2.6544815927252724e-10, 4.861852628914806e-12, 1.9614113402225822e-09, 1.4492978425983413e-08, 6.579802025888552e-13, 4.861852628914806e-12, 2.4205738923026044e-13, 2.6544815927252724e-10, 2.4205738923026044e-13, 3.5924501819784956e-11, 6.579802025888552e-13, 2.4205738923026044e-13, 5.331668804260547e-09, 5.331668804260547e-09, 1.4492978425983413e-08, 1.0708943063018306e-07, 2.4205738923026044e-13, 9.765292049316535e-11, 6.579802025888552e-13, 6.579802025888552e-13, 1.3215885653824953e-11, 1.3215885653824953e-11, 2.150948713005686e-06, 0.0008677546441526354, 1.9614113402225822e-09, 2.4205738923026044e-13, 1.4492978425983413e-08, 1.9614113402225822e-09, 3.5924501819784956e-11, 2.6544815927252724e-10, 1.4492978425983413e-08, 1.0708943063018306e-07, 4.861852628914806e-12, 1.4492978425983413e-08, 3.9395999895599686e-08, 4.861852628914806e-12, 1.0708943063018306e-07, 1.4492978425983413e-08, 1.7885756281830863e-12, 0.04737779825340328, 0.9516085161580677, 1.3215885653824953e-11, 5.846884800510728e-06, 6.579802025888552e-13, 2.4205738923026044e-13, 7.912898105289649e-07, 4.861852628914806e-12, 9.765292049316535e-11, 4.861852628914806e-12, 4.861852628914806e-12, 0.00011743782054628299, 3.5924501819784956e-11, 2.910992533020521e-07, 2.4205738923026044e-13, 1.4492978425983413e-08, 1.0708943063018306e-07, 3.9395999895599686e-08, 6.579802025888552e-13, 1.3215885653824953e-11, 5.846884800510728e-06, 1.9614113402225822e-09, 4.861852628914806e-12, 2.6544815927252724e-10, 1.0708943063018306e-07, 5.331668804260547e-09, 2.910992533020521e-07, 4.861852628914806e-12, 5.331668804260547e-09, 1.9614113402225822e-09, 7.912898105289649e-07, 1.9614113402225822e-09, 3.9395999895599686e-08, 9.765292049316535e-11, 9.765292049316535e-11, 4.861852628914806e-12, 2.4205738923026044e-13, 6.579802025888552e-13, 1.7885756281830863e-12, 4.861852628914806e-12, 5.846884800510728e-06]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 1.1134873572652229e-235, 1.5464049912046552e-246, 7.69909710215122e-248, 5.688906039890977e-247, 8.443085172179486e-245, 1.0, 6.238642998528377e-244, 9.258967159247676e-242, 2.0167918197815843e-194, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250, 5.1876108215107433e-250]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 3.1280097725187016e-93, 7.070332474148139e-99, 3.048184041114049e-83, 1.8250740325166693e-78, 0.999983298578152, 5.440469014173021e-75, 9.56865447965859e-100, 1.670142184809518e-05, 6.054500774940809e-39, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102, 2.371832311922203e-102]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 7.6136604674769635e-205, 4.800501821955756e-220, 2.2444145171954394e-158, 1.0, 1.7660059276035744e-220, 1.9366606581912876e-217, 4.2657789743798256e-213, 1.057380891792158e-215, 1.5692923852557387e-213, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223, 1.610388956444074e-223]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  1.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 2.0394232342840765e-237, 5.055224781125599e-240, 5.055224781125599e-240, 7.020667798504735e-251, 5.837886901742308e-257, 1.0, 7.502618797404815e-238, 4.730488752451095e-253, 2.832339539464062e-248, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257, 5.837886901742308e-257]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1. -1.  0.]
 [ 0.  0.  0.  0.  1.  1.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  1.  0. -1.  0.]
 [ 0.  0. -1.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  1.  1.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
