value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[1.859385847195519e-12, 1.0151902745468596e-10, 4.095569876259981e-08, 0.0003318674643858416, 4.095569876259981e-08, 6.078364636610925e-06, 1.506675957357115e-08, 2.7595732757290773e-10, 5.054334760525507e-12, 5.054334760525507e-12, 3.734676308829818e-11, 9.257337029656192e-14, 2.516405102763546e-13, 0.006665736209526488, 1.3739106334485385e-11, 5.054334760525507e-12, 2.7595732757290773e-10, 6.840298263883764e-13, 1.3739106334485385e-11, 1.859385847195519e-12, 6.078364636610925e-06, 3.734676308829818e-11, 3.734676308829818e-11, 1.859385847195519e-12, 2.516405102763546e-13, 4.095569876259981e-08, 4.095569876259981e-08, 3.734676308829818e-11, 1.859385847195519e-12, 2.7595732757290773e-10, 7.501297889715554e-10, 6.078364636610925e-06, 1.3739106334485385e-11, 1.0151902745468596e-10, 0.0009021092978968125, 9.257337029656192e-14, 1.859385847195519e-12, 0.0024521873117568527, 5.542751092189833e-09, 3.734676308829818e-11, 6.840298263883764e-13, 4.095569876259981e-08, 0.9892829686002607, 1.506675957357115e-08, 1.859385847195519e-12, 1.3739106334485385e-11, 3.734676308829818e-11, 3.734676308829818e-11, 6.840298263883764e-13, 1.859385847195519e-12, 5.054334760525507e-12, 5.054334760525507e-12, 4.095569876259981e-08, 6.840298263883764e-13, 3.734676308829818e-11, 2.039064174347197e-09, 3.026239557277546e-07, 6.078364636610925e-06, 5.542751092189833e-09, 3.734676308829818e-11, 3.734676308829818e-11, 6.840298263883764e-13, 4.095569876259981e-08, 1.0151902745468596e-10, 7.501297889715554e-10, 0.0003318674643858416, 9.257337029656192e-14, 1.859385847195519e-12, 6.840298263883764e-13, 6.840298263883764e-13, 6.078364636610925e-06, 3.734676308829818e-11, 2.516405102763546e-13, 9.257337029656192e-14, 1.859385847195519e-12, 2.236105385752684e-06, 2.516405102763546e-13, 6.840298263883764e-13, 1.859385847195519e-12, 1.859385847195519e-12, 2.516405102763546e-13]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 4.2657789743798256e-213, 2.2696001981149314e-201, 4.747230806540073e-177, 1.0, 9.291736316326398e-166, 4.55861385801115e-200, 8.568046109606362e-212, 4.677994669831859e-210, 3.790618342239785e-206, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215, 7.813046727389575e-215]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 9.964733010103672e-77, 1.0, 1.7525894717410477e-101, 5.9452570255983664e-148, 2.398487868841356e-145, 2.398487868841356e-145, 9.676190671336298e-143, 6.51976598965092e-145, 6.714184288211594e-79, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148, 5.9452570255983664e-148]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 9.894571719847004e-229, 9.894571719847004e-229, 2.6209851870952265e-218, 7.813046727389575e-215, 1.7921435007435354e-187, 8.017654507333419e-225, 3.991755131065214e-226, 1.0, 7.6136604674769635e-205, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231, 2.4526191187752155e-231]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 7.04551520987685e-175, 5.709040105864101e-171, 1.9151695967140057e-174, 6.865716089780698e-165, 4.7111658015535965e-58, 6.100951197622044e-158, 6.424678257926741e-178, 5.20597071316492e-174, 1.0, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178, 6.424678257926741e-178]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  1.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0. -1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
