value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[3.3797403294860283e-14, 4.573981147571943e-15, 3.0819242547155876e-17, 1.845275695823465e-12, 3.0819242547155876e-17, 2.023590514482158e-09, 9.187086722552056e-14, 9.187086722552056e-14, 5.500689323758941e-09, 2.497309089439062e-13, 2.277251121074851e-16, 3.0819242547155876e-17, 3.0819242547155876e-17, 1.2433369837159062e-14, 1.49524238327726e-08, 1.6826736284974788e-15, 4.573981147571943e-15, 5.500689323758941e-09, 8.377538698280566e-17, 1.6826736284974788e-15, 1.0074863929308418e-10, 1.2433369837159062e-14, 4.573981147571943e-15, 5.0159793924540455e-12, 0.0001211607452376348, 5.0159793924540455e-12, 1.2433369837159062e-14, 8.377538698280566e-17, 6.190210341255757e-16, 1.845275695823465e-12, 1.845275695823465e-12, 3.0819242547155876e-17, 1.2433369837159062e-14, 1.3634845634432874e-11, 1.3634845634432874e-11, 6.190210341255757e-16, 7.444373476275278e-10, 3.0819242547155876e-17, 6.190210341255757e-16, 2.277251121074851e-16, 9.187086722552056e-14, 1.6826736284974788e-15, 3.3797403294860283e-14, 3.0819242547155876e-17, 1.2433369837159062e-14, 1.6826736284974788e-15, 2.497309089439062e-13, 4.573981147571943e-15, 8.377538698280566e-17, 2.497309089439062e-13, 6.190210341255757e-16, 5.0159793924540455e-12, 0.0001211607452376348, 7.444373476275278e-10, 2.497309089439062e-13, 8.377538698280566e-17, 1.6826736284974788e-15, 4.573981147571943e-15, 8.377538698280566e-17, 1.6826736284974788e-15, 3.3797403294860283e-14, 3.0819242547155876e-17, 1.2433369837159062e-14, 2.277251121074851e-16, 4.573981147571943e-15, 1.6826736284974788e-15, 1.6826736284974788e-15, 2.277251121074851e-16, 4.573981147571943e-15, 0.01798184895993984, 3.3797403294860283e-14, 3.706335312192302e-11, 2.023590514482158e-09, 1.6826736284974788e-15, 3.0819242547155876e-17, 1.1048429851534441e-07, 8.377538698280566e-17, 9.187086722552056e-14, 0.9817756873881343, 6.190210341255757e-16, 2.277251121074851e-16]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 1.0766953135007305e-106, 2.9267613054760504e-106, 1.280469616417582e-57, 0.9998766054240137, 2.3715792494252535e-102, 0.00012339457598623172, 7.867477235254342e-63, 5.360550318461957e-108, 1.3287475770017118e-110, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112, 6.615444645981778e-112]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 6.282880511227653e-92, 4.0795586671698926e-41, 1.8251045143536499e-78, 0.9999999999981204, 1.7525894717377534e-101, 5.2243955837819e-98, 1.8795288165355504e-12, 4.3442349678725005e-104, 4.296027131165836e-61, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104, 4.3442349678725005e-104]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 1.0, 2.009679202108461e-270, 3.02677244947294e-235, 3.6808558548018004e-272, 2.6503965530043108e-261, 8.891089926545851e-265, 3.6808558548018004e-272, 1.785823150070186e-263, 9.750264028019429e-262, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272, 3.6808558548018004e-272]"
"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 4.250734855980884e-289, 2.3816002108005187e-297, 6.473860575673281e-297, 3.223145390850647e-298, 1.0, 9.362866590805559e-285, 6.30864988483559e-287, 8.537829190048485e-288, 9.608060996252968e-295, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298, 3.223145390850647e-298]"
"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0. -1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0. -1.  0.  0. -1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  1.  1.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
