value_network_X,value_network_y,policy_network_X,policy_network_y
"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[1.4582858864629508e-13, 2.164288152846679e-11, 2.929045501711506e-12, 2.164288152846679e-11, 5.883145157432319e-11, 1.7537408545973739e-07, 2.929045501711506e-12, 2.929045501711506e-12, 2.6027822047804875e-05, 1.2958489557606576e-06, 2.929045501711506e-12, 2.929045501711506e-12, 1.0775356223353556e-12, 2.373430152805548e-08, 1.7537408545973739e-07, 4.34708896064196e-10, 1.4582858864629508e-13, 4.34708896064196e-10, 5.883145157432319e-11, 1.4582858864629508e-13, 0.5733009320492901, 1.0775356223353556e-12, 0.0005227827807713428, 2.164288152846679e-11, 2.929045501711506e-12, 7.961971162032093e-12, 0.00142107093320203, 1.7537408545973739e-07, 2.929045501711506e-12, 3.9640320258705294e-13, 7.961971162032093e-12, 3.212088419722558e-09, 5.883145157432319e-11, 1.2958489557606576e-06, 2.164288152846679e-11, 0.21090562650535988, 8.73136158273556e-09, 1.5992046575635103e-10, 0.21090562650535988, 1.0775356223353556e-12, 1.1816612928407959e-09, 5.883145157432319e-11, 3.9640320258705294e-13, 1.4582858864629508e-13, 7.075095570691369e-05, 7.961971162032093e-12, 2.929045501711506e-12, 1.4582858864629508e-13, 1.5992046575635103e-10, 1.0775356223353556e-12, 7.961971162032093e-12, 2.373430152805548e-08, 6.451652055488096e-08, 8.73136158273556e-09, 4.767161896878278e-07, 1.2958489557606576e-06, 1.5992046575635103e-10, 4.34708896064196e-10, 8.73136158273556e-09, 4.34708896064196e-10, 3.9640320258705294e-13, 3.212088419722558e-09, 2.929045501711506e-12, 0.00142107093320203, 7.961971162032093e-12, 2.929045501711506e-12, 1.1816612928407959e-09, 3.9640320258705294e-13, 2.164288152846679e-11, 4.34708896064196e-10, 0.00142107093320203, 2.929045501711506e-12, 1.4582858864629508e-13, 2.164288152846679e-11, 2.164288152846679e-11, 2.164288152846679e-11, 2.929045501711506e-12, 5.883145157432319e-11, 2.164288152846679e-11, 2.929045501711506e-12, 2.929045501711506e-12]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 1.4470674864825768e-259, 5.4628744561235025e-270, 5.990769268916865e-267, 8.66419237571129e-255, 3.406183664368772e-242, 6.569676224788449e-264, 1.0, 4.036548581771182e-269, 5.990769268916865e-267, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271, 2.7198050403207837e-271]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 2.0167918197815843e-194, 1.0, 2.874259263918443e-215, 4.050834656260586e-193, 5.264389475052911e-217, 8.792425785565214e-222, 1.3049116870106872e-219, 2.329036404514219e-211, 4.871551112062132e-187, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223, 4.377491037053051e-223]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 6.169412976402867e-201, 4.2657789743798256e-213, 6.3309773362105915e-211, 1.0, 3.282425319641051e-189, 8.136318905805023e-192, 3.8898869157786035e-216, 2.0466411214592676e-161, 1.5692923852557387e-213, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216, 3.8898869157786035e-216]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 9.258967159247676e-242, 8.66419237571129e-255, 7.020667798504735e-251, 1.0, 2.236499142785329e-234, 3.4953846767221607e-252, 6.238642998528377e-244, 3.991755131065214e-226, 1.285880161551771e-252, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256, 4.3136473816186357e-256]"
"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  1.  0. -1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]",1.0,"[[ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  1. -1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0. -1.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0. -1.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
